Number people , Number of times it occurs
1597,1
1599,1
1612,1
1617,1
1618,1
1620,1
1622,1
1628,1
1633,1
1635,3
1639,1
1640,2
1641,1
1642,3
1643,1
1644,2
1647,2
1648,1
1650,5
1651,2
1654,1
1655,4
1656,1
1657,2
1658,4
1660,1
1661,2
1662,2
1663,3
1664,3
1665,2
1666,4
1667,5
1668,3
1669,4
1670,4
1671,2
1672,3
1673,1
1674,4
1675,4
1676,8
1677,7
1678,2
1679,7
1680,6
1681,5
1682,5
1683,3
1684,11
1685,8
1686,10
1687,6
1688,5
1689,10
1690,3
1691,4
1692,4
1693,8
1694,3
1695,6
1696,8
1697,8
1698,4
1699,6
1700,10
1701,7
1702,14
1703,6
1704,9
1705,6
1706,9
1707,16
1708,8
1709,5
1710,7
1711,6
1712,11
1713,11
1714,14
1715,12
1716,15
1717,5
1718,12
1719,8
1720,10
1721,19
1722,11
1723,11
1724,12
1725,10
1726,6
1727,10
1728,13
1729,13
1730,7
1731,13
1732,6
1733,7
1734,8
1735,12
1736,9
1737,5
1738,8
1739,8
1740,7
1741,12
1742,12
1743,10
1744,6
1745,11
1746,4
1747,9
1748,7
1749,4
1750,11
1751,7
1752,3
1753,10
1754,9
1755,7
1756,10
1757,9
1758,11
1759,8
1760,9
1761,11
1762,7
1763,9
1764,3
1765,7
1766,7
1767,5
1768,3
1769,1
1770,11
1771,7
1772,11
1773,6
1774,4
1775,3
1776,7
1777,1
1778,5
1779,5
1780,3
1781,6
1782,4
1783,2
1784,7
1785,1
1786,3
1787,4
1788,4
1789,3
1790,2
1791,2
1794,2
1795,3
1796,1
1797,5
1799,4
1800,1
1801,1
1802,3
1803,1
1806,2
1810,1
1812,3
1814,1
1815,1
1816,1
1822,1
1823,1
1824,1
1825,1
1826,1
1827,1
1830,1
1832,1
1835,1
1836,1
1840,1
1841,1
1848,1
