 ,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
1,3,8,None,None,None,7,None,4,None,2,None,5,1,6,None
2,None,None,None,None,None,1,3,None,2,4,None,None,None,5,None
3,7,1,None,None,3,None,6,None,5,2,4,9,None,8,None
4,3,4,5,None,None,None,None,None,None,6,None,2,1,None,None
5,12,10,None,3,7,1,2,5,11,4,6,None,9,8,None
6,2,10,4,5,1,8,None,6,None,9,7,None,None,3,None
7,None,2,None,5,6,None,7,3,4,1,None,8,None,None,None
8,None,4,None,6,None,1,None,5,None,3,2,7,None,None,None
9,3,10,5,12,7,None,9,4,6,11,1,8,None,None,2
10,5,None,9,1,2,None,7,6,None,None,3,8,None,None,4
11,1,None,3,None,5,None,None,None,None,6,8,2,7,None,4
12,8,14,4,5,6,1,3,None,7,12,9,13,10,2,11
13,None,None,None,6,None,2,None,3,8,1,5,None,7,None,4
14,5,4,9,None,6,8,1,None,None,None,3,None,2,7,None
15,None,5,None,None,None,1,3,4,None,6,None,None,2,None,None
16,None,None,None,None,None,1,None,4,2,None,3,None,None,None,None
17,None,None,5,None,7,1,6,None,None,2,None,4,None,3,None
18,None,None,None,7,2,1,None,None,5,None,6,4,3,8,None
19,None,4,None,9,7,6,None,None,2,3,None,5,1,None,8
20,None,3,None,None,None,1,4,None,None,None,None,None,2,None,None
21,7,9,6,11,5,1,3,10,13,8,12,2,None,4,None
22,None,2,None,None,None,6,None,1,None,3,None,None,None,4,5
23,None,None,9,1,6,7,None,4,5,8,None,None,2,10,3
24,None,11,8,None,6,None,3,5,9,1,4,7,10,2,None
25,None,9,None,3,4,None,None,8,6,None,7,2,None,5,1
26,9,14,6,7,4,11,2,1,3,15,5,12,13,10,8
27,None,5,1,None,7,None,None,None,4,3,8,None,6,2,None
28,3,8,7,9,11,2,14,1,4,None,12,13,5,6,10
29,14,10,11,12,2,4,6,9,8,3,1,7,None,13,5
30,6,None,9,5,7,10,None,None,4,None,8,3,1,2,None
31,11,None,5,1,6,4,None,None,7,2,None,9,3,10,8
32,6,12,None,1,7,4,None,10,8,None,2,5,3,9,11
33,None,None,2,None,None,1,None,3,None,None,None,None,4,None,None
34,None,None,None,None,5,2,1,None,None,7,None,None,4,3,6
35,12,4,9,1,3,2,5,8,10,11,7,None,6,None,None
36,5,7,None,1,None,None,6,None,None,2,None,3,4,8,None
37,None,4,7,None,None,None,None,1,6,None,None,None,5,3,2
38,None,None,None,None,2,7,5,6,None,3,None,None,None,4,1
39,5,8,9,4,6,1,12,7,None,10,14,11,13,3,2
40,None,None,2,None,None,None,None,None,None,1,4,None,3,None,None
41,9,4,13,10,7,11,None,3,2,5,12,8,6,None,1
42,4,None,5,None,None,1,7,None,None,8,2,None,3,None,6
43,6,7,3,None,2,1,None,None,None,4,None,None,None,None,5
44,4,10,5,1,None,7,8,None,None,6,3,2,9,None,11
45,9,5,13,8,14,10,1,11,2,4,3,7,6,12,15
46,None,5,2,3,None,6,None,None,None,4,None,None,1,7,None
47,6,None,3,None,None,1,None,4,2,None,None,5,None,None,None
48,None,2,3,None,1,None,None,None,None,None,4,None,None,None,None
49,4,14,8,11,10,1,9,2,15,6,5,7,13,12,3
50,6,10,None,None,7,None,5,9,3,4,None,2,None,1,8
51,10,4,None,3,8,12,13,2,5,6,9,1,None,7,11
52,None,6,5,1,None,2,10,3,9,12,7,8,None,11,4
53,None,None,None,None,None,None,None,None,None,None,4,1,2,3,None
54,None,None,1,3,None,4,None,None,None,None,5,None,2,6,None
55,4,None,None,None,None,1,6,7,None,None,None,None,3,5,2
56,6,2,4,3,11,1,14,13,7,8,15,9,12,10,5
57,10,7,6,4,None,1,None,None,None,3,2,8,5,None,9
58,None,7,None,1,None,5,4,6,None,None,2,None,8,3,None
59,7,6,3,None,None,8,None,None,2,5,None,1,4,None,None
60,3,5,12,8,1,10,13,9,11,None,6,2,7,4,14
61,None,8,4,3,2,1,5,None,None,10,7,6,None,9,None
62,6,None,None,None,4,1,None,5,None,None,None,3,None,2,None
63,4,None,5,None,7,6,1,None,8,None,None,3,None,2,9
64,None,None,6,4,None,1,None,7,2,5,3,None,8,None,None
65,8,5,7,None,10,None,6,None,4,None,1,None,2,9,3
66,10,14,12,1,2,8,7,6,5,3,9,4,None,11,13
67,15,5,14,3,12,9,8,10,7,11,13,6,2,4,1
68,1,None,None,2,7,5,None,6,3,None,None,None,None,4,None
69,4,None,11,14,10,2,12,13,3,7,8,1,5,9,6
70,6,3,None,None,9,4,None,8,7,5,10,2,None,1,None
71,None,None,3,2,1,None,11,5,9,8,6,None,7,10,4
72,11,3,8,14,7,12,9,5,10,2,4,13,15,1,6
73,2,5,9,8,7,4,15,13,10,3,6,14,11,1,12
74,12,1,8,None,7,None,10,6,3,5,13,4,2,11,9
75,9,None,11,7,10,None,8,6,5,3,2,12,4,1,None
76,None,None,3,None,None,2,None,None,None,None,4,None,1,5,None
77,1,5,11,10,8,2,14,9,12,4,6,None,13,3,7
78,4,8,12,6,7,None,2,5,13,3,9,14,1,10,11
79,2,4,12,14,1,8,6,3,7,9,10,11,5,None,13
80,12,14,3,5,4,10,15,9,8,11,13,7,6,1,2
81,None,7,4,10,None,1,6,9,None,5,None,None,8,2,3
82,None,None,None,3,None,None,2,None,None,None,None,None,4,1,None
83,None,3,4,None,None,5,None,None,2,None,None,None,6,1,None
84,None,None,None,None,2,1,3,None,5,None,None,None,6,4,None
85,None,None,2,3,None,6,None,None,None,4,None,7,1,5,None
86,None,3,None,4,None,7,6,None,None,2,5,1,None,8,None
87,6,7,13,5,3,10,4,8,14,12,2,15,11,1,9
88,6,9,8,None,11,None,2,None,4,1,None,10,7,3,5
89,6,None,None,5,None,None,None,3,7,None,8,2,4,None,1
90,None,8,6,4,2,1,3,None,11,None,9,5,10,None,7
91,3,5,None,2,None,None,None,None,None,4,None,None,6,1,None
92,6,1,7,11,3,8,5,10,9,None,None,None,2,4,None
93,6,4,None,7,5,None,2,None,None,None,1,None,None,3,None
94,2,None,None,1,5,6,3,None,None,None,None,None,4,None,None
95,3,1,4,None,None,None,None,None,None,None,2,None,None,None,None
96,6,None,8,None,4,1,11,7,9,5,2,None,12,3,10
97,5,10,None,None,3,9,4,None,2,None,None,6,7,8,1
98,None,None,None,None,None,1,5,6,2,None,None,3,None,None,4
99,1,None,9,8,4,2,11,7,5,14,6,13,3,12,10
100,10,12,11,1,2,9,13,4,6,7,5,None,8,None,3
101,8,5,6,10,3,11,None,None,None,2,4,7,None,1,9
102,None,3,None,None,4,None,None,1,None,None,None,None,2,None,None
103,4,10,6,1,7,None,2,12,13,8,None,9,5,3,11
104,None,None,4,None,7,2,None,None,None,None,5,3,8,1,6
105,None,None,None,10,5,1,3,7,2,None,8,9,None,6,4
106,5,12,13,3,2,None,7,11,1,8,4,10,9,None,6
107,7,None,None,1,5,2,8,None,None,None,10,4,6,3,9
108,2,None,None,1,None,None,None,None,None,5,None,None,3,4,None
109,4,None,None,None,3,1,None,None,None,None,None,None,2,None,None
110,9,6,None,None,7,2,11,1,None,12,8,3,4,10,5
111,None,2,None,None,None,1,None,5,None,None,None,None,6,4,3
112,None,None,None,None,2,1,None,4,None,None,6,5,3,None,None
113,9,2,3,None,10,1,4,8,7,5,None,None,None,11,6
114,7,11,None,10,4,1,2,6,9,5,None,8,None,3,None
115,None,None,None,4,None,1,None,2,5,6,3,None,None,None,None
116,None,None,9,2,3,1,None,5,8,None,7,None,6,None,4
117,None,4,None,3,None,2,None,None,None,None,None,6,None,5,1
118,None,3,2,1,9,None,6,None,None,10,8,4,7,None,5
119,2,4,None,None,5,1,None,None,None,None,None,None,None,None,3
120,4,7,3,2,5,8,None,None,None,1,6,None,None,None,None
121,8,None,None,6,2,3,10,9,None,4,1,5,11,None,7
122,4,7,None,3,9,None,1,None,10,None,5,None,8,6,2
123,6,3,7,None,5,13,9,4,2,12,8,10,None,11,1
124,None,None,9,8,7,5,4,None,3,2,None,None,6,1,10
125,None,11,6,7,4,10,8,None,5,None,2,9,3,1,None
126,2,7,None,None,3,None,9,None,6,4,None,8,5,None,1
127,8,11,None,9,None,6,3,10,1,2,4,12,None,7,5
128,3,10,None,11,9,None,8,None,6,7,12,2,5,4,1
129,None,7,8,5,None,3,None,6,2,1,11,10,4,None,9
130,None,None,4,None,None,3,None,None,None,None,None,None,1,2,None
131,9,6,8,12,10,1,14,2,3,11,7,4,15,13,5
132,4,12,8,2,None,11,3,5,9,6,10,7,None,1,None
133,None,2,None,3,1,7,4,None,None,None,None,None,5,None,6
134,7,5,None,None,None,1,2,None,None,None,4,8,3,6,None
135,5,8,2,1,3,None,None,None,4,None,7,6,None,None,9
136,9,None,6,None,10,8,1,None,5,None,None,4,7,2,3
137,1,6,None,3,None,11,9,4,10,7,5,2,13,8,12
138,None,None,None,3,1,None,None,None,4,2,None,None,None,None,None
139,1,4,None,5,None,7,None,None,None,3,6,2,None,None,None
140,7,None,11,3,6,1,10,2,8,4,None,None,None,9,5
141,None,None,7,10,6,2,9,8,4,None,1,None,11,3,5
142,None,4,None,2,None,1,None,3,None,None,None,None,None,None,None
143,8,11,13,6,12,1,3,2,None,5,7,4,10,9,None
144,None,4,2,None,6,None,8,None,None,3,7,None,1,None,5
145,None,None,None,None,5,2,None,3,4,None,None,None,None,None,1
146,4,3,None,None,None,1,None,None,None,None,None,2,None,None,None
147,6,3,2,None,7,1,13,8,12,None,5,9,11,10,4
148,6,None,8,7,None,1,5,10,2,None,None,4,3,None,9
149,5,None,2,None,None,None,6,None,4,3,None,None,None,1,None
150,None,None,None,None,4,None,None,None,5,2,None,1,6,None,3
