 ,A,B,C,D,E,F,G,H
1,8,6,4,1,5,2,3,7
2,5,7,3,4,2,1,8,6
3,None,4,1,5,6,3,None,2
4,1,2,4,None,5,3,None,None
5,1,3,2,5,4,None,None,None
6,None,6,1,2,5,4,7,3
7,1,None,None,6,2,5,4,3
8,1,5,2,3,6,None,4,None
9,5,1,6,4,2,3,7,8
10,1,7,5,8,4,2,3,6
11,None,3,None,2,5,4,None,1
12,None,2,None,None,3,1,4,None
13,None,None,None,1,None,4,2,3
14,1,None,3,4,None,2,6,5
15,1,None,2,None,3,None,None,None
16,1,None,4,2,6,5,None,3
17,1,None,3,None,5,4,6,2
18,6,None,1,4,3,5,7,2
19,1,3,7,2,8,5,4,6
20,None,None,None,1,4,2,5,3
21,1,2,8,6,5,3,7,4
22,1,3,4,2,5,None,6,None
23,1,None,None,3,2,None,None,None
24,None,None,3,1,None,2,None,None
25,None,None,2,3,None,None,None,1
26,1,3,2,5,None,None,6,4
27,1,None,3,6,4,5,2,None
28,3,6,5,1,2,4,None,7
29,1,None,None,None,2,3,4,None
30,2,None,1,None,None,None,4,3
31,2,None,6,7,1,3,4,5
32,None,3,2,None,1,None,None,None
33,None,6,None,4,1,5,2,3
34,1,7,4,None,5,6,3,2
35,3,None,2,5,None,1,4,None
36,None,None,3,None,1,None,2,4
37,None,3,None,4,None,1,2,5
38,7,8,3,6,5,2,4,1
39,1,8,2,4,7,3,5,6
40,None,3,None,None,None,None,2,1
41,6,2,3,4,5,8,1,7
42,1,None,4,None,2,None,3,5
43,None,3,None,2,1,None,None,None
44,2,None,3,None,1,None,None,None
45,None,None,6,2,4,3,1,5
46,1,3,4,6,7,None,2,5
47,5,4,None,3,None,2,None,1
48,3,None,None,4,None,5,1,2
49,None,4,2,5,6,1,3,None
50,4,2,5,7,6,1,None,3
51,None,3,5,4,1,2,None,6
52,1,2,8,4,3,7,6,5
53,None,5,2,None,1,4,6,3
54,3,7,6,8,4,1,2,5
55,1,None,None,2,None,None,None,3
56,3,4,None,1,2,6,7,5
57,3,1,4,8,2,6,7,5
58,2,1,None,None,4,3,None,None
59,None,None,2,1,3,4,None,None
60,1,2,3,4,None,6,5,None
61,1,3,4,2,None,5,None,None
62,4,1,3,None,None,None,2,5
63,None,6,1,5,2,3,4,7
64,1,2,None,4,None,5,6,3
65,3,None,5,None,4,None,1,2
66,1,None,2,3,5,None,4,6
67,None,1,None,6,3,4,5,2
68,2,6,None,4,1,3,7,5
69,1,5,7,None,2,3,6,4
70,1,None,2,4,5,None,None,3
71,3,2,None,6,1,5,7,4
72,None,None,3,None,1,None,None,2
73,6,3,7,4,1,5,2,None
74,5,8,2,1,6,7,4,3
75,1,3,6,4,2,5,None,None
76,3,None,5,1,4,2,6,None
77,7,6,2,4,5,None,1,3
78,3,None,1,4,None,None,None,2
79,1,4,2,7,5,3,8,6
80,1,None,None,None,None,3,2,None
81,6,4,5,None,1,7,3,2
82,1,7,5,3,6,2,4,8
83,3,4,5,2,None,1,None,None
84,1,None,None,5,None,2,3,4
85,2,None,3,1,None,None,None,4
86,5,None,1,6,2,3,4,None
87,2,3,None,4,None,None,1,None
88,5,4,7,3,2,8,1,6
89,2,5,6,3,4,None,None,1
90,6,7,2,4,5,3,1,None
91,1,4,5,3,2,7,8,6
92,3,5,4,1,None,2,6,7
93,1,3,None,2,5,None,4,None
94,1,None,None,2,None,None,None,3
95,1,4,7,5,2,8,6,3
96,None,None,3,None,2,None,1,None
97,5,7,6,2,None,3,1,4
98,6,1,None,3,5,2,4,None
99,5,4,None,3,2,1,None,None
100,1,2,None,6,3,5,None,4
101,5,1,2,4,None,3,6,7
102,1,2,7,8,6,5,3,4
103,4,None,None,None,None,3,1,2
104,2,3,None,6,5,None,4,1
105,1,5,4,2,None,None,3,None
106,5,3,None,4,1,None,None,2
107,None,None,2,None,1,None,None,3
108,7,4,1,3,2,6,5,None
109,5,2,4,3,None,7,6,1
110,1,5,None,3,None,6,4,2
111,None,2,3,5,1,None,None,4
112,None,3,2,None,None,None,None,1
113,8,3,6,7,2,1,4,5
114,2,1,4,None,None,None,None,3
115,1,None,None,None,None,2,None,3
116,2,1,None,4,3,None,None,None
117,None,3,None,None,1,4,None,2
118,1,5,None,4,None,3,2,6
119,1,2,None,3,None,None,4,None
120,None,None,3,2,4,1,None,None
121,6,7,1,3,4,2,None,5
122,1,4,2,None,None,None,5,3
123,4,None,1,None,3,None,2,None
124,1,None,2,None,None,None,None,3
125,2,6,5,1,4,7,8,3
126,1,3,None,4,None,None,2,None
127,7,4,8,5,1,2,3,6
128,1,8,5,7,6,2,3,4
129,5,2,1,7,3,6,4,None
130,None,None,1,None,2,3,None,None
131,1,None,None,4,None,2,3,None
132,None,3,None,1,None,None,4,2
133,2,None,None,3,None,None,1,None
134,None,None,2,None,None,None,3,1
135,None,2,None,None,3,1,None,4
136,2,None,3,None,1,None,None,4
137,None,None,None,1,None,3,2,None
138,6,2,4,3,1,None,None,5
139,6,4,3,2,5,7,None,1
140,1,8,2,5,6,7,3,4
141,None,2,4,None,None,3,1,None
142,None,2,1,4,None,5,3,6
143,1,None,5,None,None,4,3,2
144,None,None,3,None,2,None,1,None
145,None,None,3,None,None,2,None,1
146,None,None,None,1,None,4,2,3
147,2,3,7,4,8,5,6,1
148,1,3,6,None,None,2,5,4
149,1,None,None,None,4,2,3,None
150,2,None,None,3,None,4,1,None
