 ,A,B,C,D,E,F,G,H
1,None,None,None,1,4,None,2,3
2,None,2,1,None,4,None,3,None
3,None,2,1,4,None,3,5,None
4,None,4,2,None,3,None,None,1
5,None,1,4,5,3,2,6,None
6,None,None,1,None,None,3,4,2
7,5,7,1,3,2,None,6,4
8,1,None,2,4,3,5,None,None
9,4,3,5,1,None,None,6,2
10,6,None,7,5,4,1,3,2
11,5,8,3,6,7,2,4,1
12,7,1,8,3,5,2,6,4
13,6,1,5,None,None,2,3,4
14,3,None,None,None,None,2,4,1
15,None,2,3,4,None,None,None,1
16,6,7,1,None,3,4,2,5
17,2,5,7,1,3,4,6,None
18,2,3,5,None,4,None,1,None
19,6,1,None,3,4,None,5,2
20,3,7,2,1,None,6,5,4
21,2,5,None,1,3,None,4,None
22,4,7,5,2,3,1,None,6
23,4,3,1,5,6,2,None,7
24,7,8,6,2,5,3,4,1
25,None,None,1,None,3,None,4,2
26,None,3,1,5,2,None,6,4
27,4,1,6,None,None,5,3,2
28,None,4,None,2,None,1,3,None
29,3,4,1,2,6,5,None,None
30,6,1,8,5,7,2,4,3
31,7,8,1,5,3,6,2,4
32,5,None,1,None,4,6,3,2
33,2,None,3,None,None,1,None,4
34,6,4,1,7,2,5,None,3
35,2,5,4,None,6,None,1,3
36,2,4,1,None,3,5,None,None
37,1,7,3,None,2,6,4,5
38,4,6,None,3,2,7,1,5
39,1,None,None,2,5,None,4,3
40,6,8,1,7,2,4,5,3
41,1,2,4,3,5,8,6,7
42,5,3,1,4,7,6,2,8
43,6,None,7,4,5,1,2,3
44,8,3,1,7,2,6,4,5
45,4,None,1,None,2,None,None,3
46,None,None,None,4,2,5,3,1
47,3,None,None,None,4,None,1,2
48,4,2,1,3,6,None,None,5
49,None,1,3,None,4,None,None,2
50,2,4,None,None,6,3,5,1
51,None,None,2,1,3,None,4,None
52,2,8,1,7,6,3,5,4
53,None,2,None,4,5,3,None,1
54,None,2,None,4,None,None,1,3
55,None,None,3,None,2,4,1,None
56,2,3,1,8,6,4,7,5
57,3,7,2,5,4,1,6,None
58,3,None,None,None,4,5,2,1
59,None,2,4,None,5,1,3,None
60,1,8,5,7,3,4,2,6
61,1,5,None,7,2,6,4,3
62,None,7,3,6,4,5,2,1
63,None,1,3,None,None,4,None,2
64,3,5,1,4,None,None,6,2
65,2,None,None,3,None,4,None,1
66,7,6,None,2,5,1,4,3
67,6,7,1,5,3,4,2,8
68,3,2,5,4,1,8,6,7
69,7,None,1,5,2,4,3,6
70,7,2,1,None,4,3,5,6
71,2,3,4,5,None,1,None,None
72,None,None,4,1,None,3,5,2
73,None,None,None,None,4,3,1,2
74,1,None,4,5,None,3,None,2
75,2,None,3,5,4,1,None,None
76,None,2,1,4,3,7,6,5
77,None,None,4,1,3,None,5,2
78,2,3,1,4,6,None,7,5
79,3,None,1,2,None,None,4,None
80,1,2,5,6,3,7,8,4
81,6,5,1,3,8,4,7,2
82,None,1,5,None,4,None,3,2
83,6,None,1,4,3,5,2,None
84,6,1,4,2,3,5,8,7
85,5,None,2,4,1,6,3,None
86,4,3,1,None,None,None,5,2
87,2,1,None,None,4,5,None,3
88,7,4,3,5,1,6,2,None
89,1,4,None,5,None,2,3,6
90,2,None,4,None,1,None,3,None
91,None,None,1,None,3,4,2,5
92,6,4,1,None,7,5,3,2
93,3,None,None,4,None,None,2,1
94,2,4,1,5,None,3,None,None
95,2,5,4,None,3,6,None,1
96,2,6,4,1,7,3,None,5
97,4,8,1,5,6,3,2,7
98,1,4,5,6,3,8,2,7
99,4,None,6,2,3,None,5,1
100,7,2,4,6,3,1,5,8
101,4,3,8,2,6,7,1,5
102,3,None,4,None,1,2,None,5
103,None,None,5,1,2,3,4,None
104,5,None,None,4,1,None,3,2
105,8,1,2,6,3,7,4,5
106,2,1,None,6,5,4,3,7
107,4,None,2,None,1,None,3,5
108,2,3,1,None,7,5,4,6
109,3,None,1,None,2,6,4,5
110,8,5,3,7,6,1,2,4
111,7,8,1,5,2,3,4,6
112,6,None,1,5,None,2,4,3
113,None,3,1,4,None,2,None,None
114,2,3,None,5,6,1,None,4
115,None,None,1,5,2,4,6,3
116,5,6,None,4,1,3,None,2
117,None,3,None,None,4,None,1,2
118,6,4,5,7,None,3,1,2
119,8,7,3,5,2,1,4,6
120,1,None,4,6,3,2,7,5
121,None,1,None,3,2,None,4,None
122,7,4,2,6,8,1,5,3
123,None,4,5,1,6,3,7,2
124,7,5,2,8,4,6,1,3
125,None,6,7,5,3,1,4,2
126,1,None,None,None,3,5,4,2
127,7,3,1,4,5,2,6,8
128,3,6,1,5,8,2,4,7
129,7,1,4,5,8,3,6,2
130,3,None,2,None,4,1,None,None
131,5,6,1,4,3,2,7,8
132,1,7,2,5,3,4,None,6
133,1,2,None,7,3,4,6,5
134,6,4,5,2,3,None,1,7
135,None,3,1,None,None,5,2,4
136,3,7,1,None,4,6,5,2
137,8,1,2,4,3,6,7,5
138,5,4,3,6,2,1,7,8
139,6,None,None,5,4,3,1,2
140,1,5,None,None,None,4,2,3
141,7,1,2,3,6,5,None,4
142,2,1,6,None,4,None,3,5
143,None,1,None,None,2,3,None,4
144,None,1,4,None,3,None,2,None
145,5,2,None,6,3,1,4,None
146,None,None,1,4,2,None,3,None
147,None,3,4,None,None,2,None,1
148,1,2,3,7,6,8,4,5
149,1,4,7,5,3,None,2,6
150,4,2,1,None,None,5,3,None
