 ,A,B,C,D,E,F
1,4,6,5,3,1,2
2,2,None,1,3,4,5
3,4,2,1,3,5,6
4,1,2,3,4,5,6
5,None,1,3,None,None,2
6,None,2,None,1,None,None
7,3,None,None,4,1,2
8,1,3,2,5,4,None
9,None,1,None,None,2,None
10,1,None,None,3,2,None
11,None,2,1,4,3,None
12,4,1,2,None,3,None
13,None,5,2,1,3,4
14,3,1,5,6,2,4
15,None,None,1,None,None,2
16,None,4,None,3,2,1
17,2,1,None,None,None,None
18,None,None,None,1,2,None
19,4,5,2,1,3,None
20,2,None,None,1,None,3
21,None,None,2,None,1,3
22,1,None,None,2,None,None
23,None,2,1,4,3,None
24,2,None,1,4,3,5
25,3,None,None,None,2,1
26,3,4,1,6,2,5
27,2,None,3,1,None,4
28,None,5,2,3,1,4
29,2,3,None,None,1,4
30,None,5,3,4,1,2
31,4,3,1,5,6,2
32,3,None,1,None,2,None
33,3,1,None,None,None,2
34,None,1,2,None,None,None
35,None,3,None,1,4,2
36,2,None,None,None,3,1
37,1,4,None,5,2,3
38,5,3,4,None,2,1
39,3,2,1,None,4,None
40,None,2,3,1,None,None
41,None,1,3,2,4,None
42,5,1,4,3,2,6
43,6,1,5,3,4,2
44,None,None,1,3,4,2
45,4,5,3,None,1,2
46,5,6,4,3,2,1
47,2,1,4,None,3,None
48,2,6,3,4,1,5
49,None,None,2,None,1,None
50,None,None,None,3,2,1
51,1,2,None,None,None,None
52,None,None,3,2,1,None
53,1,2,5,3,None,4
54,3,2,4,None,5,1
55,2,None,3,None,1,None
56,3,2,1,5,None,4
57,2,3,None,4,1,None
58,1,3,4,2,6,5
59,1,2,None,3,None,4
60,1,3,4,2,None,None
61,None,1,3,None,4,2
62,None,None,None,2,1,None
63,2,None,None,None,3,1
64,2,5,4,1,None,3
65,1,None,2,None,3,None
66,3,2,1,4,None,None
67,2,1,5,4,3,6
68,None,1,None,None,2,None
69,None,None,None,2,1,None
70,None,None,3,1,None,2
71,4,3,None,1,2,None
72,1,3,None,None,2,None
73,4,1,2,6,3,5
74,2,5,1,6,3,4
75,None,3,None,2,1,None
76,1,3,5,4,6,2
77,None,None,None,2,1,None
78,None,4,1,5,3,2
79,3,2,None,None,None,1
80,None,None,None,2,None,1
81,None,None,None,2,1,None
82,None,None,None,2,1,None
83,1,3,None,4,None,2
84,3,4,1,5,2,6
85,1,None,None,2,3,4
86,None,1,2,None,None,None
87,3,2,4,None,1,None
88,2,None,None,1,None,None
89,3,5,1,6,2,4
90,4,5,3,6,2,1
91,None,3,2,None,None,1
92,None,5,1,4,2,3
93,3,1,5,4,2,None
94,1,None,2,None,None,3
95,3,None,2,None,1,4
96,3,2,None,1,None,None
97,2,None,None,None,1,None
98,1,None,None,None,None,2
99,None,None,2,None,None,1
100,None,None,3,2,1,None

,A,B,C,D,E,F
1,17,17,18,13,22,13
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0

,A,B,C,D,E,F
1,17,17,18,0,22,1
2,6,5,4,0,8,0
3,0,1,1,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0

,A,B,C,D,E,F
1,8,5,3,0,22,1
2,4,4,2,0,21,0
3,0,0,1,0,15,0
4,0,0,0,0,8,0
5,0,0,0,0,3,0
6,0,0,0,0,3,0
